signal,alpha,lambda,realised_risk,coverage,n_answered,n_abstained,n_total
ours_agreement,0.02,1.000000001,0.0,0.0,0,4107,4107
ours_agreement,0.05,1.000000001,0.0,0.0,0,4107,4107
ours_agreement,0.1,1.000000001,0.0,0.0,0,4107,4107
ours_agreement,0.15,1.000000001,0.0,0.0,0,4107,4107
ours_agreement,0.2,1.000000001,0.0,0.0,0,4107,4107
ours_agreement,0.3,1.000000001,0.0,0.0,0,4107,4107
b2_confidence,0.02,1.000000001,0.0,0.0,0,4107,4107
b2_confidence,0.05,1.000000001,0.0,0.0,0,4107,4107
b2_confidence,0.1,1.000000001,0.0,0.0,0,4107,4107
b2_confidence,0.15,0.5,0.13062689864678265,0.8816654492330168,3621,486,4107
b2_confidence,0.2,0.5,0.13062689864678265,0.8816654492330168,3621,486,4107
b2_confidence,0.3,0.0,0.23350377404431458,1.0,4107,0,4107
cross_method,0.02,1.000000001,0.0,0.0,0,4107,4107
cross_method,0.05,1.000000001,0.0,0.0,0,4107,4107
cross_method,0.1,0.95,0.08828428650749584,0.4385196006817628,1801,2306,4107
cross_method,0.15,0.55,0.10198789974070872,0.5634282931580229,2314,1793,4107
cross_method,0.2,0.55,0.10198789974070872,0.5634282931580229,2314,1793,4107
cross_method,0.3,0.55,0.10198789974070872,0.5634282931580229,2314,1793,4107
